,Date,Forecast or Actual?,lat,long,Morning_Temp,Day_Temp,Evening_Temp,Night_Temp,Morning_FeelsLike,Day_FeelsLike,Evening_FeelsLike,Night_FeelsLike,Pressure,Rain_in,Snow_in,Wind_Speed,Wind_Gust,Wind_Direction_Deg,Moon_Phase,Cloudiness_%
0,01/15/2022,7-Day Forecast,40,-124,40.64,49.5,44.27,42.32,35.12,47.61,41.53,37.69,1020.43,0.0,0.0,9.27,10.88,48.0,0.53,63.0
0,01/15/2022,7-Day Forecast,41,-124,39.93,56.79,43.98,42.35,36.04,54.5,43.23,39.98,1021.0,0.0,0.0,6.25,7.14,Wind direction varies,0.53,49.0
0,01/15/2022,7-Day Forecast,42,-124,37.52,53.73,41.85,39.77,33.02,51.4,39.67,36.17,1021.43,0.0,0.0,6.2,7.53,77.0,0.53,32.0
0,01/15/2022,7-Day Forecast,43,-124,43.83,56.67,46.14,44.34,42.36,55.04,45.28,42.86,1022.43,0.04,0.0,4.45,5.42,Wind direction varies,0.53,54.0
0,01/15/2022,7-Day Forecast,44,-124,42.84,52.76,45.75,43.6,40.79,51.38,44.62,41.58,1023.29,0.05,0.0,5.42,8.39,Wind direction varies,0.53,79.0
0,01/15/2022,7-Day Forecast,45,-124,45.23,51.47,46.61,45.4,43.16,49.28,44.2,43.13,1023.43,0.16,0.0,6.53,10.79,Wind direction varies,0.53,89.0
0,01/15/2022,7-Day Forecast,46,-124,47.28,50.13,48.72,47.79,44.32,47.61,45.87,44.67,1023.43,0.29,0.0,10.85,14.68,Wind direction varies,0.53,99.0
0,01/15/2022,7-Day Forecast,47,-124,44.7,49.55,46.33,45.39,42.65,47.83,44.84,43.15,1023.29,0.71,0.0,7.5,13.44,Wind direction varies,0.53,95.0
0,01/15/2022,7-Day Forecast,48,-124,41.19,45.93,41.15,40.74,40.99,45.21,40.57,39.39,1022.71,0.92,0.0,3.79,6.06,Wind direction varies,0.53,90.0
0,01/15/2022,7-Day Forecast,49,-124,39.99,44.52,40.94,40.26,38.93,44.52,40.75,39.91,1023.0,0.24,0.0,3.27,4.9,217.0,0.53,91.0
0,01/15/2022,7-Day Forecast,49,-123,43.97,44.8,44.8,44.49,40.54,41.83,41.51,41.23,1023.43,0.87,0.0,8.45,11.36,Wind direction varies,0.53,91.0
0,01/15/2022,7-Day Forecast,48,-123,42.14,46.91,43.11,41.81,41.6,46.47,42.59,40.56,1023.0,0.24,0.0,4.1,4.37,Wind direction varies,0.53,95.0
0,01/15/2022,7-Day Forecast,47,-123,42.11,48.04,44.03,42.94,41.27,47.12,43.06,42.4,1023.57,0.48,0.0,4.17,8.58,Wind direction varies,0.53,99.0
0,01/15/2022,7-Day Forecast,46,-123,39.36,46.02,40.82,40.2,38.58,45.02,39.55,39.03,1023.71,0.22,0.0,3.99,7.53,Wind direction varies,0.53,94.0
0,01/15/2022,7-Day Forecast,45,-123,40.87,48.36,43.7,42.23,39.45,46.75,41.49,40.35,1023.86,0.04,0.0,5.21,10.18,Wind direction varies,0.53,81.0
0,01/15/2022,7-Day Forecast,44,-123,39.35,49.38,42.76,41.14,39.35,48.84,42.54,40.75,1023.57,0.09,0.0,3.38,5.0,Wind direction varies,0.53,87.0
0,01/15/2022,7-Day Forecast,43,-123,37.66,53.7,41.78,40.31,35.99,51.29,41.78,39.23,1022.29,0.02,0.0,4.12,4.68,Wind direction varies,0.53,49.0
0,01/15/2022,7-Day Forecast,42,-123,31.81,47.36,35.76,34.09,28.12,45.52,33.92,31.08,1020.71,0.01,0.0,5.24,5.63,Wind direction varies,0.53,53.0
0,01/15/2022,7-Day Forecast,41,-123,23.65,31.87,26.37,25.42,19.19,28.88,21.41,20.96,1023.0,0.0,0.01,4.92,6.0,368.0,0.53,82.0
0,01/15/2022,7-Day Forecast,40,-123,28.77,43.08,30.94,29.6,25.81,42.1,28.17,26.77,1019.43,0.0,0.01,5.0,5.58,Wind direction varies,0.53,60.0
0,01/15/2022,7-Day Forecast,39,-123,38.08,56.41,43.22,40.6,37.42,53.8,42.24,39.46,1019.43,0.0,0.0,4.19,5.21,Wind direction varies,0.53,27.0
0,01/15/2022,7-Day Forecast,49,-122,34.19,37.53,34.51,33.68,32.31,37.25,32.28,31.1,1023.86,1.31,0.0,4.37,4.3,139.0,0.53,99.0
0,01/15/2022,7-Day Forecast,48,-122,41.36,45.84,43.14,42.26,40.87,45.13,42.59,41.72,1023.57,0.94,0.0,4.54,9.56,Wind direction varies,0.53,100.0
0,01/15/2022,7-Day Forecast,47,-122,41.3,46.3,41.27,41.24,39.52,46.09,39.64,39.36,1023.29,1.41,0.0,4.7,5.77,Wind direction varies,0.53,97.0
0,01/15/2022,7-Day Forecast,46,-122,33.29,40.42,34.52,33.8,31.55,39.88,33.14,32.72,1023.14,0.7,0.01,3.78,8.1,Wind direction varies,0.53,96.0
0,01/15/2022,7-Day Forecast,45,-122,34.11,43.89,35.67,34.41,31.86,43.32,33.69,32.22,1022.71,0.39,0.01,4.23,8.9,Wind direction varies,0.53,80.0
0,01/15/2022,7-Day Forecast,44,-122,30.11,39.21,31.92,30.99,24.76,37.3,28.4,25.7,1022.57,0.0,0.34,7.18,11.22,118.0,0.53,79.0
0,01/15/2022,7-Day Forecast,43,-122,25.47,37.13,29.69,28.29,23.39,36.29,26.84,25.17,1022.29,0.0,0.02,4.85,9.63,Wind direction varies,0.53,65.0
0,01/15/2022,7-Day Forecast,42,-122,29.03,43.95,33.07,31.3,28.09,42.66,32.19,30.3,1021.86,0.0,0.0,3.88,4.87,Wind direction varies,0.53,50.0
0,01/15/2022,7-Day Forecast,41,-122,30.42,49.92,35.31,34.0,24.04,47.09,30.07,28.21,1021.29,0.0,0.0,7.2,11.57,45.0,0.53,57.0
0,01/15/2022,7-Day Forecast,40,-122,43.45,58.14,49.08,46.87,41.95,55.99,48.04,45.79,1020.29,0.0,0.0,6.14,9.39,316.0,0.53,57.0
0,01/15/2022,7-Day Forecast,39,-122,44.21,57.86,52.24,50.04,39.54,55.75,50.1,48.22,1020.14,0.0,0.0,11.6,18.9,329.0,0.53,41.0
0,01/15/2022,7-Day Forecast,38,-122,48.78,59.25,55.33,53.05,47.89,57.1,53.29,51.0,1020.14,0.0,0.0,5.09,9.78,Wind direction varies,0.53,36.0
0,01/15/2022,7-Day Forecast,37,-122,51.78,63.01,56.12,53.9,50.01,61.19,54.49,52.15,1018.71,0.0,0.0,5.71,8.26,Wind direction varies,0.53,33.0
0,01/15/2022,7-Day Forecast,49,-121,22.56,27.34,24.0,23.98,19.7,24.11,19.88,20.38,1022.86,0.0,0.7,4.22,7.03,Wind direction varies,0.53,99.0
0,01/15/2022,7-Day Forecast,48,-121,28.11,31.56,28.0,27.06,24.01,27.02,23.04,21.53,1022.86,0.02,0.61,5.81,7.97,305.0,0.53,100.0
0,01/15/2022,7-Day Forecast,47,-121,23.83,30.11,25.42,24.99,19.56,26.94,20.84,20.11,1022.43,0.0,0.18,6.32,13.09,282.0,0.53,97.0
0,01/15/2022,7-Day Forecast,46,-121,28.99,35.24,31.57,30.21,27.89,34.13,29.5,27.42,1023.29,0.1,0.0,4.02,9.13,Wind direction varies,0.53,94.0
0,01/15/2022,7-Day Forecast,45,-121,34.14,40.87,36.92,35.38,29.15,38.03,33.42,31.75,1022.71,0.06,0.0,7.77,11.74,209.0,0.53,79.0
